Name,Nation,Pos,Age,MP,Games Played,Gls,Ast,CrdY,CrdR,xG,Club
Kai Havertz,GER,"FW,MF",25,7,7,4,1,0,0,0.62,Arsenal
Gabriel Magalhães,BRA,DF,26,7,7,2,0,1,0,0.20,Arsenal
David Raya,ESP,GK,29,7,7,0,0,1,0,0.00,Arsenal
William Saliba,FRA,DF,23,7,7,0,0,2,0,0.00,Arsenal
Thomas Partey,GHA,"MF,DF",31,7,7,1,0,2,0,0.04,Arsenal
Bukayo Saka, ENG,"MF,FW",23,7,7,2,7,1,0,0.33,Arsenal
Declan Rice, ENG,MF,25,6,6,0,0,4,1,0.07,Arsenal
Jurriën Timber,NED,DF,23,6,5,0,1,2,0,0.06,Arsenal
Gabriel Martinelli,BRA,"MF,FW",23,7,5,2,2,0,0,0.21,Arsenal
Ben White, ENG,DF,27,5,4,0,0,0,0,0.02,Arsenal
Leandro Trossard,BEL,FW,29,7,4,2,0,2,1,0.39,Arsenal
Riccardo Calafiori,ITA,DF,22,5,3,1,0,1,0,0.15,Arsenal
Martin Ødegaard,NOR,MF,25,3,3,0,0,1,0,0.16,Arsenal
Jorginho,ITA,MF,32,2,2,0,0,1,0,0.02,Arsenal
Raheem Sterling, ENG,"MF,FW",29,3,1,0,0,0,0,0.35,Arsenal
Gabriel Jesus,BRA,"FW,MF",27,5,1,0,0,2,0,0.54,Arsenal
Oleksandr Zinchenko,UKR,DF,27,2,1,0,0,0,0,0.00,Arsenal
Mikel Merino,ESP,MF,28,1,0,0,0,0,0,0.00,Arsenal
Jakub Kiwior,POL,DF,24,2,0,0,0,0,0,0.00,Arsenal
Ethan Nwaneri, ENG,"MF,FW",17,2,0,0,0,0,0,0.17,Arsenal
Takehiro Tomiyasu,JPN,DF,25,1,0,0,0,0,0,2.37,Arsenal
Reiss Nelson, ENG,FW,24,1,0,0,0,0,0,0.00,Arsenal
Myles Lewis-Skelly, ENG,DF,18,1,0,0,0,1,0,0.00,Arsenal
Nathan Butler-Oyedeji, ENG,FW,21,0,0,,,,,,Arsenal
Ayden Heaven, ENG,MF,18,0,0,,,,,,Arsenal
Ismeal Kabia, ENG,MF,18,0,0,,,,,,Arsenal
Maldini Kacurri,ALB,DF,19,0,0,,,,,,Arsenal
Neto,BRA,GK,35,0,0,,,,,,Arsenal
Josh Nichols, ENG,DF,18,0,0,,,,,,Arsenal
Eddie Nketiah, ENG,FW,25,0,0,,,,,,Arsenal
